,text,result
3372,chairman,0.000000076633499
5440,flown,0.000000183462478
8745,part,0.000000183462478
6177,hey,0.000000360284973
3598,coach,0.000000669505824
5700,fyi,0.000000669505824
11252,til,0.000000997662523
7364,london,0.000001269526465
8932,picked,0.000001588600797
9618,remain,0.000001776286924
3419,cheat,0.000001776286924
5568,fran,0.000001776286924
10152,sept,0.000001776286924
9308,provider,0.000001776286924
7450,lunch,0.000001776286924
9358,pwm,0.000001776286924
7355,login,0.000001776286924
7028,kit,0.000001776286924
8749,particularly,0.000001776286924
9299,protect,0.000001776286924
7408,louisville,0.000001776286924
8368,numerous,0.000001776286924
8700,packed,0.000001776286924
9526,recover,0.000001776286924
8575,orf,0.000001776286924
11204,threaten,0.000001776286924
1999,affect,0.000001776286924
2932,boo,0.000001776286924
3795,constantly,0.000001776286924
2102,aka,0.000001776286924
6515,inappropriate,0.000001776286924
11030,tear,0.000001776286924
7296,lisa,0.000001776286924
6187,high,0.000001849225391
7613,mco,0.000001934417163
10263,short,0.000002541409213
9767,review,0.000002649240340
2708,bdl,0.000002649240340
9518,recommend,0.000002649240340
9127,practice,0.000002649240340
8646,overall,0.000002659291288
5032,executive,0.000002659291288
3206,cabo,0.000002659291288
8290,north,0.000002659291288
7542,map,0.000002659291288
1907,accident,0.000002659291288
9873,rout,0.000002659291288
2820,bhm,0.000002659291288
3453,chicken,0.000002659291288
3138,bush,0.000002659291288
6074,hartford,0.000002659291288
5058,expense,0.000002659291288
6191,highly,0.000002659291288
5220,fell,0.000002659291288
2409,asleep,0.000002659291288
8854,performance,0.000002659291288
12520,worried,0.000003553861528
12628,yep,0.000003767677639
11483,trust,0.000003939441816
9887,rsw,0.000004029701521
2418,assignment,0.000004029701521
9607,release,0.000004029701521
3410,chat,0.000004029701521
5261,final,0.000004038397532
6526,inch,0.000004228638343
7303,lit,0.000004228638343
1902,accepted,0.000004228638343
9125,pr,0.000004266262588
7993,must,0.000005164287624
3371,chair,0.000005320644984
9624,remind,0.000005320644984
5002,exact,0.000005320644984
8856,perhaps,0.000005332725221
9699,resolution,0.000005848871628
10664,statement,0.000006335554498
2988,boy,0.000006335554498
3113,bummer,0.000006335554498
11322,toddler,0.000006335554498
5547,forth,0.000007317639895
8876,pet,0.000007317639895
4180,dear,0.000007317639895
12374,white,0.000007317639895
6359,hpn,0.000007317639895
8988,plastic,0.000007317639895
10883,survey,0.000007317639895
5786,gf,0.000007317639895
4254,delete,0.000007317639895
6481,impact,0.000007317639895
11516,turbulence,0.000007317639895
3919,cousin,0.000007317639895
7407,louis,0.000007317639895
2529,await,0.000007317639895
7262,lifetime,0.000007317639895
7878,mom,0.000007381983997
1941,across,0.000008461809299
12273,wed,0.000009056864729
10961,t5,0.000009056864729
9348,purpose,0.000009366423666
9696,reset,0.000009366423666
2699,bay,0.000009366423666
2410,aspen,0.000009366423666
6367,hub,0.000009366423666
8536,operating,0.000009366423666
9047,pocket,0.000009366423666
3197,ca,0.000009366423666
9594,reinstate,0.000009366423666
1875,ability,0.000009366423666
9394,quote,0.000009366423666
9530,rectify,0.000009366423666
10965,table,0.000009366423666
5819,glitch,0.000009366423666
3099,bug,0.000009366423666
1892,abt,0.000009366423666
11457,trip,0.000009441798494
7102,large,0.000009550696698
3668,comment,0.000009948689540
2557,az,0.000010352544891
4898,equal,0.000010352544891
7572,mary,0.000010352544891
2571,b6,0.000010352544891
11439,tray,0.000010352544891
9193,pressure,0.000010352544891
11432,traveller,0.000010352544891
10430,smell,0.000010352544891
5650,ftw,0.000010352544891
7213,letsgo,0.000010352544891
10456,snag,0.000010352544891
10598,spoil,0.000010352544891
8420,odds,0.000010352544891
9306,providence,0.000010352544891
4036,cushion,0.000010352544891
3568,cloud,0.000010352544891
8727,pant,0.000010352544891
1877,aboard,0.000010352544891
11338,tom,0.000010352544891
9385,quiet,0.000010352544891
10510,sometimes,0.000010352544891
2750,behavior,0.000010352544891
8540,opinion,0.000010352544891
11355,tonite,0.000010352544891
11280,tip,0.000010352544891
5134,faith,0.000010352544891
2145,allows,0.000010352544891
3671,commit,0.000010352544891
8771,passing,0.000010352544891
3535,cleaning,0.000010352544891
2871,blanket,0.000010352544891
8791,patiently,0.000010352544891
3708,competition,0.000010352544891
6435,idk,0.000010352544891
10790,style,0.000010352544891
8543,opposite,0.000010352544891
73,1051,0.000010352544891
8035,na,0.000010352544891
9546,reduce,0.000010352544891
3189,c26,0.000010352544891
8997,played,0.000010352544891
2977,bottom,0.000010352544891
4209,def,0.000010352544891
7961,mt,0.000010352544891
8920,photography,0.000010352544891
4197,deck,0.000010352544891
2220,ana,0.000010352544891
6532,inclement,0.000010352544891
6627,innovation,0.000010352544891
7784,mine,0.000010677064914
2363,area,0.000010677064914
10188,sf,0.000010856681383
8603,otherwise,0.000010856681383
2048,ah,0.000011157210907
8432,office,0.000011338762281
5381,flightlations,0.000011799577226
8872,personnel,0.000012277633420
12664,youre,0.000012277633420
3909,coupon,0.000012277633420
8040,nah,0.000012277633420
8959,pittsburgh,0.000012277633420
2811,bf,0.000012277633420
12336,whatever,0.000012277633420
3712,complain,0.000012678195154
2153,along,0.000012678195154
5597,frequent,0.000012699520208
6491,important,0.000013097417381
4385,die,0.000013097417381
10308,sign,0.000013390028701
5694,future,0.000013622569220
10528,sort,0.000014463806772
8954,pit,0.000014642821200
12345,wheel,0.000014642821200
2974,both,0.000015189031448
9305,provide,0.000015274214387
8378,nyc,0.000017251933223
5514,foot,0.000017791549040
980,39,0.000017876938045
6123,heavy,0.000017876938045
10509,sometime,0.000017876938045
6327,hou,0.000017876938045
4190,december,0.000017876938045
6378,humor,0.000017876938045
4953,evaluate,0.000017876938045
6502,improvement,0.000017876938045
4354,detroit,0.000017876938045
5055,expedite,0.000017876938045
6932,jose,0.000017876938045
6233,holder,0.000018244900995
10392,slc,0.000018706019956
7351,logan,0.000018741245766
7793,minor,0.000019535844458
4714,easily,0.000019535844458
11380,tough,0.000019807708400
601,219,0.000020038634621
12611,ya,0.000020038634621
11422,transportation,0.000020038634621
2343,approve,0.000020038634621
817,2x,0.000020038634621
9482,reasonable,0.000020038634621
606,22,0.000020107352376
9396,race,0.000020711161081
2390,article,0.000020711161081
3375,challenge,0.000020711161081
5983,guest,0.000020711161081
5187,fb,0.000020785603987
12709,zone,0.000020785603987
7665,meet,0.000020785603987
2337,approach,0.000020785603987
2297,anyway,0.000020883190205
2688,basically,0.000021171926262
10608,spot,0.000021171926262
7282,limit,0.000021171926262
3363,certainly,0.000021171926262
2126,alist,0.000021171926262
7583,match,0.000021975555661
4808,emergency,0.000022051819872
3908,couple,0.000022231706616
8628,outlet,0.000022552387442
7275,likely,0.000022644692196
9869,rough,0.000022759944852
3804,cont,0.000022759944852
7440,luckily,0.000022759944852
2830,bill,0.000022759944852
9785,rico,0.000022759944852
10698,stick,0.000022804444522
5686,funny,0.000023491188999
5362,flightd,0.000024126770486
1885,absolutely,0.000024366708755
7952,mr,0.000024866861008
9231,private,0.000024866861008
5393,flightly,0.000024866861008
8444,ohare,0.000025698979036
7167,leaf,0.000025698979036
6697,internet,0.000025698979036
4937,etc,0.000025698979036
11075,terribly,0.000025848946404
2671,bar,0.000025848946404
6937,jp,0.000025848946404
12669,yours,0.000025848946404
9461,read,0.000026235339227
10261,shoe,0.000026288607188
11474,truck,0.000026288607188
11021,teach,0.000026288607188
9171,premium,0.000026728293126
4223,degree,0.000026728293126
9168,premier,0.000026921312876
11555,type,0.000027992300908
3583,cmh,0.000028088423841
8537,operation,0.000028088423841
7480,mad,0.000028088878633
9909,rule,0.000028124477719
10105,security,0.000028480756529
11402,traffic,0.000028587463581
12274,wedding,0.000028587463581
5883,gotta,0.000028587463581
9036,plus,0.000029025458765
3317,catch,0.000029640649669
8369,nut,0.000029695392842
1926,accurate,0.000030808939929
8693,pa,0.000030808939929
3165,bwi,0.000030883283253
