,text,result
48503,inundate,-0.000000000000002
76825,reaired,-0.000000000000002
55625,longlimbed,-0.000000000000002
55620,longit,-0.000000000000002
55619,longish,-0.000000000000002
76819,reaganera,-0.000000000000002
55615,longingbr,-0.000000000000002
24535,decaprio,-0.000000000000002
55602,longestrunning,-0.000000000000002
76810,readybr,-0.000000000000002
68493,outlandishbr,-0.000000000000002
76839,reali,-0.000000000000002
8703,awoken,-0.000000000000002
68499,outlawsbr,-0.000000000000002
8683,awfulthere,-0.000000000000002
95747,toughen,-0.000000000000002
95750,toughest,-0.000000000000002
42465,harmons,-0.000000000000002
55578,longand,-0.000000000000002
55577,longago,-0.000000000000002
8673,awfuli,-0.000000000000002
76788,readapt,-0.000000000000002
76782,reactive,-0.000000000000002
42453,harmlessbr,-0.000000000000002
68515,outmode,-0.000000000000002
42404,harewood,-0.000000000000002
42395,hardybr,-0.000000000000002
76908,reallooking,-0.000000000000002
8859,babysits,-0.000000000000002
95528,toppedbr,-0.000000000000002
24454,debatably,-0.000000000000002
76897,realizeand,-0.000000000000002
8841,babyboomer,-0.000000000000002
95550,tora,-0.000000000000002
31633,espositos,-0.000000000000002
76888,realitythe,-0.000000000000002
8827,babettes,-0.000000000000002
55658,longthe,-0.000000000000002
42358,hardness,-0.000000000000002
24485,debtor,-0.000000000000002
55693,lookedbr,-0.000000000000002
42374,hardtofollow,-0.000000000000002
76871,realitiesbr,-0.000000000000002
68438,outclasses,-0.000000000000002
95622,tortilla,-0.000000000000002
24498,debutant,-0.000000000000002
68446,outdatedbr,-0.000000000000002
42391,hardwork,-0.000000000000002
68448,outdid,-0.000000000000002
95586,tornadoesbr,-0.000000000000002
24573,decentthe,-0.000000000000002
8641,awayto,-0.000000000000002
8640,awaythere,-0.000000000000002
8541,avian,-0.000000000000002
76705,rayes,-0.000000000000002
76702,rayburn,-0.000000000000002
55448,loftier,-0.000000000000002
42577,haseena,-0.000000000000002
31511,errols,-0.000000000000002
76680,ravishment,-0.000000000000002
55415,locomotive,-0.000000000000002
95988,trainee,-0.000000000000002
31498,eroticize,-0.000000000000002
68554,outoftowners,-0.000000000000002
55402,lockerroom,-0.000000000000002
42618,hatas,-0.000000000000002
42624,hatcheck,-0.000000000000002
76653,ravel,-0.000000000000002
8441,autocratic,-0.000000000000002
8437,autobots,-0.000000000000002
55374,locality,-0.000000000000002
24678,deductive,-0.000000000000002
76641,raunchiness,-0.000000000000002
96056,transceiver,-0.000000000000002
76639,raunchiest,-0.000000000000002
31496,eroticbr,-0.000000000000002
42558,harvery,-0.000000000000002
31528,erstwhile,-0.000000000000002
76718,raysbr,-0.000000000000002
8639,awaythe,-0.000000000000002
68526,outofcharacter,-0.000000000000002
8629,awayi,-0.000000000000002
68529,outofdate,-0.000000000000002
68531,outofleftfield,-0.000000000000002
42509,harriswho,-0.000000000000002
95827,townhouse,-0.000000000000002
42511,harrod,-0.000000000000002
68533,outofnowhere,-0.000000000000002
8612,awardworthy,-0.000000000000002
95837,townsman,-0.000000000000002
24596,decipherable,-0.000000000000002
76741,rbr,-0.000000000000002
68541,outofsync,-0.000000000000002
95856,toyland,-0.000000000000002
55497,loiss,-0.000000000000002
55493,loire,-0.000000000000002
8571,avonlea,-0.000000000000002
76723,raze,-0.000000000000002
95875,tpm,-0.000000000000002
95880,tracebr,-0.000000000000002
24614,declaims,-0.000000000000002
24615,declamatory,-0.000000000000002
68400,ouroboros,-0.000000000000002
68394,oughts,-0.000000000000002
95502,topi,-0.000000000000002
31651,essencebr,-0.000000000000002
42051,handlebr,-0.000000000000002
24249,dbutant,-0.000000000000002
56069,lovesbut,-0.000000000000002
77133,recessive,-0.000000000000002
56043,lovemakingbr,-0.000000000000002
77110,receivedbr,-0.000000000000002
95130,todayin,-0.000000000000002
9198,bagpipe,-0.000000000000002
42094,handsomest,-0.000000000000002
95146,todo,-0.000000000000002
56078,lovestories,-0.000000000000002
9179,bagatelle,-0.000000000000002
95161,toga,-0.000000000000002
9166,baer,-0.000000000000002
56008,lovedones,-0.000000000000002
24296,deadeningly,-0.000000000000002
77083,rebuttal,-0.000000000000002
9148,badthat,-0.000000000000002
31748,etcthe,-0.000000000000002
24310,deadlier,-0.000000000000002
95207,toke,-0.000000000000002
95211,tokers,-0.000000000000002
24292,deaden,-0.000000000000002
56084,lovethe,-0.000000000000002
77163,recline,-0.000000000000002
9281,balancedbr,-0.000000000000002
41942,hamlisch,-0.000000000000002
94865,timetrigger,-0.000000000000002
24178,daybreak,-0.000000000000002
94879,timeyou,-0.000000000000002
56183,lowpriced,-0.000000000000002
9383,bally,-0.000000000000002
94883,timidly,-0.000000000000002
31817,euphemistic,-0.000000000000002
9371,ballotstuffing,-0.000000000000002
24187,dayfornight,-0.000000000000002
94926,tink,-0.000000000000002
94948,tintorera,-0.000000000000002
41993,hana,-0.000000000000002
9320,balinese,-0.000000000000002
41999,handand,-0.000000000000002
9310,baldwinbr,-0.000000000000002
24219,daysthe,-0.000000000000002
94988,tish,-0.000000000000002
24220,daysthis,-0.000000000000002
42016,handedness,-0.000000000000002
95003,titanicbr,-0.000000000000002
9289,balcan,-0.000000000000002
95010,titfortat,-0.000000000000002
42147,hanker,-0.000000000000002
76633,raubal,-0.000000000000002
42151,hanks,-0.000000000000002
77060,rebelliousness,-0.000000000000002
8994,backtrack,-0.000000000000002
8986,backstorybr,-0.000000000000002
42241,happenstancebr,-0.000000000000002
8977,backslapping,-0.000000000000002
95402,tooi,-0.000000000000002
76968,rearprojection,-0.000000000000002
95414,toolsbr,-0.000000000000002
76965,rearend,-0.000000000000002
42264,happyending,-0.000000000000002
95430,tooooo,-0.000000000000002
76990,reasoneven,-0.000000000000002
95440,toosmall,-0.000000000000002
95458,toothpick,-0.000000000000002
95463,toothy,-0.000000000000002
31662,establishedbr,-0.000000000000002
55785,loquacious,-0.000000000000002
8902,backandforth,-0.000000000000002
95479,topand,-0.000000000000002
95482,topbilling,-0.000000000000002
42304,hardback,-0.000000000000002
76922,reallynot,-0.000000000000002
8887,bachchans,-0.000000000000002
42281,harakiri,-0.000000000000002
9009,backwood,-0.000000000000002
95365,tonka,-0.000000000000002
95363,tonino,-0.000000000000002
31740,etcit,-0.000000000000002
95241,tolkein,-0.000000000000002
24327,deadso,-0.000000000000002
77055,rebellionbr,-0.000000000000002
55954,loused,-0.000000000000002
55948,loups,-0.000000000000002
9089,badi,-0.000000000000002
42184,hansjurgen,-0.000000000000002
9069,baddy,-0.000000000000002
77034,reba,-0.000000000000002
9064,baddiel,-0.000000000000002
95312,tommybr,-0.000000000000002
77012,reassemble,-0.000000000000002
95328,tonally,-0.000000000000002
55895,lotto,-0.000000000000002
9031,badacted,-0.000000000000002
55890,lotte,-0.000000000000002
77007,reasonthe,-0.000000000000002
68337,othersit,-0.000000000000002
77003,reasonsi,-0.000000000000002
31703,estrada,-0.000000000000002
9014,backyardbr,-0.000000000000002
95362,tonightbr,-0.000000000000002
55967,loutishness,-0.000000000000002
77245,recored,-0.000000000000002
68596,outshoot,-0.000000000000002
8379,auteil,-0.000000000000002
43092,heaviest,-0.000000000000002
96876,tuccibr,-0.000000000000002
25003,delineation,-0.000000000000002
96887,tudjman,-0.000000000000002
7741,asis,-0.000000000000002
43115,hebetude,-0.000000000000002
96900,tugofwar,-0.000000000000002
54802,likethe,-0.000000000000002
7725,asianstyle,-0.000000000000002
7718,asianamerican,-0.000000000000002
43090,heavenward,-0.000000000000002
68848,overkillbr,-0.000000000000002
96936,tunedbr,-0.000000000000002
54786,likei,-0.000000000000002
76216,rakish,-0.000000000000002
7700,ashok,-0.000000000000002
96954,tunnelbr,-0.000000000000002
43150,hedonism,-0.000000000000002
96979,turbid,-0.000000000000002
31237,environmentthe,-0.000000000000002
31235,environmentsbr,-0.000000000000002
43167,heeeeeeres,-0.000000000000002
7716,asiabr,-0.000000000000002
54740,lightsaber,-0.000000000000002
96851,tsutomu,-0.000000000000002
7796,asrani,-0.000000000000002
42969,hearingbr,-0.000000000000002
24909,deify,-0.000000000000002
42982,heartattack,-0.000000000000002
96689,truckbr,-0.000000000000002
54969,linereading,-0.000000000000002
31331,epitaph,-0.000000000000002
96716,truebut,-0.000000000000002
96721,trueheart,-0.000000000000002
7894,asst,-0.000000000000002
43016,heartmelting,-0.000000000000002
68824,overhype,-0.000000000000002
68786,overemphatic,-0.000000000000002
96772,trustee,-0.000000000000002
43035,heartstring,-0.000000000000002
7850,assetbr,-0.000000000000002
96789,truthfulness,-0.000000000000002
54894,limply,-0.000000000000002
7834,assemblage,-0.000000000000002
7822,assaulter,-0.000000000000002
76289,rampagebr,-0.000000000000002
54875,limey,-0.000000000000002
96822,tse,-0.000000000000002
96771,trustedbr,-0.000000000000002
7647,asbr,-0.000000000000002
54738,lightoller,-0.000000000000002
97032,turnip,-0.000000000000002
97147,tvpg,-0.000000000000002
76095,ragebr,-0.000000000000002
7512,artfulness,-0.000000000000002
54633,lifelessly,-0.000000000000002
43280,hella,-0.000000000000002
31183,entrancingbr,-0.000000000000002
54626,lifeindeed,-0.000000000000002
43287,hellbound,-0.000000000000002
97179,twang,-0.000000000000002
76076,rafe,-0.000000000000002
7530,arthurthe,-0.000000000000002
43295,hellenic,-0.000000000000002
7476,arse,-0.000000000000002
97204,twentiesbr,-0.000000000000002
97218,twentyodd,-0.000000000000002
76064,radley,-0.000000000000002
97226,twentythree,-0.000000000000002
97228,twentyyear,-0.000000000000002
97229,twentyyearold,-0.000000000000002
25141,demonico,-0.000000000000002
25148,demonise,-0.000000000000002
25152,demonlike,-0.000000000000002
7479,arsenic,-0.000000000000002
97142,tvnz,-0.000000000000002
54653,lifesaver,-0.000000000000002
43247,heirloom,-0.000000000000002
76154,raincoat,-0.000000000000002
43196,hegemony,-0.000000000000002
43201,hehebr,-0.000000000000002
7610,artthe,-0.000000000000002
43205,hehheh,-0.000000000000002
54704,lightbulb,-0.000000000000002
97066,turturros,-0.000000000000002
7599,artsbr,-0.000000000000002
31213,enunciation,-0.000000000000002
76135,railrodder,-0.000000000000002
7592,artmovie,-0.000000000000002
25081,dematteo,-0.000000000000002
31208,enuff,-0.000000000000002
76121,rahman,-0.000000000000002
97092,tutsi,-0.000000000000002
68889,overmeyer,-0.000000000000002
97096,tutu,-0.000000000000002
76116,ragtime,-0.000000000000002
76114,ragstoriches,-0.000000000000002
43234,hein,-0.000000000000002
43235,heinie,-0.000000000000002
43240,heinously,-0.000000000000002
7555,artilleryman,-0.000000000000002
96655,troublemaking,-0.000000000000002
31341,epochal,-0.000000000000002
7959,astronomy,-0.000000000000002
55003,linguistically,-0.000000000000002
8282,auditor,-0.000000000000002
8278,audiovisual,-0.000000000000002
8277,audiovideo,-0.000000000000002
8270,audiencethe,-0.000000000000002
24760,defeatedbr,-0.000000000000002
96254,traynor,-0.000000000000002
96260,treacle,-0.000000000000002
24762,defeatist,-0.000000000000002
76538,ratcatcher,-0.000000000000002
55221,liveand,-0.000000000000002
24752,defame,-0.000000000000002
24770,defectives,-0.000000000000002
42767,hawksian,-0.000000000000002
96302,treeclimbing,-0.000000000000002
55213,livable,-0.000000000000002
8233,auburn,-0.000000000000002
8232,aubuchon,-0.000000000000002
96308,treeless,-0.000000000000002
76529,ratatouille,-0.000000000000002
96317,treetop,-0.000000000000002
68681,overage,-0.000000000000002
42789,hayley,-0.000000000000002
96294,treck,-0.000000000000002
42736,haviland,-0.000000000000002
96217,traumatic,-0.000000000000002
42732,havet,-0.000000000000002
8378,autantlara,-0.000000000000002
31475,erna,-0.000000000000002
31472,ermey,-0.000000000000002
68608,outskirt,-0.000000000000002
8365,australiansbr,-0.000000000000002
8359,austrailian,-0.000000000000002
8358,austrailia,-0.000000000000002
76604,rationalism,-0.000000000000002
31465,erk,-0.000000000000002
42692,hauntedbr,-0.000000000000002
8343,auspiciously,-0.000000000000002
55303,lizs,-0.000000000000002
96166,trapp,-0.000000000000002
8336,aurelius,-0.000000000000002
42698,hauptmann,-0.000000000000002
24719,deeprooted,-0.000000000000002
96179,trashcan,-0.000000000000002
24722,deepseeded,-0.000000000000002
96185,trashiest,-0.000000000000002
24734,dees,-0.000000000000002
68638,outthis,-0.000000000000002
31446,ericbr,-0.000000000000002
76560,rathke,-0.000000000000002
42794,haysbert,-0.000000000000002
42661,hatstand,-0.000000000000002
42796,haystack,-0.000000000000002
42801,haywardbr,-0.000000000000002
55089,liquorselling,-0.000000000000002
31379,equator,-0.000000000000002
42881,headley,-0.000000000000002
24848,deflects,-0.000000000000002
24850,deflowers,-0.000000000000002
8060,atm,-0.000000000000002
55073,lipsynching,-0.000000000000002
96509,trimming,-0.000000000000002
42899,headoverheels,-0.000000000000002
24858,deforrest,-0.000000000000002
55096,lisaraye,-0.000000000000002
55067,lipsmacking,-0.000000000000002
8040,atlanteans,-0.000000000000002
42915,headstart,-0.000000000000002
42918,headsup,-0.000000000000002
76427,rapidity,-0.000000000000002
96554,trishs,-0.000000000000002
42922,headtrip,-0.000000000000002
96559,tristar,-0.000000000000002
96583,trivialise,-0.000000000000002
68742,overdeveloped,-0.000000000000002
55004,linguistics,-0.000000000000002
8046,atlanticbr,-0.000000000000002
24837,definitionbr,-0.000000000000002
8108,att,-0.000000000000002
55110,listedbr,-0.000000000000002
8191,attitudesbr,-0.000000000000002
24796,defer,-0.000000000000002
76504,raskin,-0.000000000000002
55176,litigation,-0.000000000000002
8182,atticus,-0.000000000000002
31406,eragon,-0.000000000000002
68692,overanalyze,-0.000000000000002
96381,trenton,-0.000000000000002
8162,attentiongrabbing,-0.000000000000002
24810,deficienciesbr,-0.000000000000002
76491,rasche,-0.000000000000002
55148,litel,-0.000000000000002
24821,definate,-0.000000000000002
76482,rarest,-0.000000000000002
55134,listlessly,-0.000000000000002
42842,hdnet,-0.000000000000002
55128,listi,-0.000000000000002
96426,tribbiani,-0.000000000000002
55121,listenit,-0.000000000000002
42853,headand,-0.000000000000002
55119,listeningbr,-0.000000000000002
68708,overblown,-0.000000000000002
8116,attackedbr,-0.000000000000002
76508,rasp,-0.000000000000002
77257,recrimination,-0.000000000000002
94848,timeswhich,-0.000000000000002
56204,lowtalent,-0.000000000000002
57406,malte,-0.000000000000002
78100,rentbr,-0.000000000000002
57392,malo,-0.000000000000002
41018,gudrun,-0.000000000000002
10725,believabilitybr,-0.000000000000002
41024,guerra,-0.000000000000002
23506,cyndi,-0.000000000000002
23507,cyndy,-0.000000000000002
57382,mallika,-0.000000000000002
67700,onsite,-0.000000000000002
23490,cyclon,-0.000000000000002
67701,onslaught,-0.000000000000002
41041,guessthe,-0.000000000000002
10691,belanna,-0.000000000000002
93413,texasbr,-0.000000000000002
67710,onthe,-0.000000000000002
67711,ontheedge,-0.000000000000002
10684,belabors,-0.000000000000002
57348,maliciousness,-0.000000000000002
93425,textual,-0.000000000000002
57346,maliciousbr,-0.000000000000002
10664,beit,-0.000000000000002
41039,guessingbr,-0.000000000000002
23538,d2,-0.000000000000002
93334,teru,-0.000000000000002
40988,guaranteebr,-0.000000000000002
10904,benight,-0.000000000000002
93182,tenyearolds,-0.000000000000002
10883,beneficiary,-0.000000000000002
93198,tera,-0.000000000000002
10880,beneficence,-0.000000000000002
57514,mandible,-0.000000000000002
57510,mandell,-0.000000000000002
93221,termination,-0.000000000000002
93230,terpsichorean,-0.000000000000002
10846,bemusement,-0.000000000000002
93333,tertiary,-0.000000000000002
40937,grumpiness,-0.000000000000002
10831,belushibr,-0.000000000000002
78155,repents,-0.000000000000002
57487,manchuria,-0.000000000000002
10825,beltran,-0.000000000000002
57481,mancha,-0.000000000000002
93275,terrificly,-0.000000000000002
57476,manboy,-0.000000000000002
78142,repeatedbr,-0.000000000000002
10780,bellocchio,-0.000000000000002
67682,onna,-0.000000000000002
93254,terribles,-0.000000000000002
41075,guild,-0.000000000000002
10644,beholding,-0.000000000000002
23542,daag,-0.000000000000002
41161,gumby,-0.000000000000002
23596,daftbr,-0.000000000000002
32184,exactbr,-0.000000000000002
77943,rembrandt,-0.000000000000002
67765,ooooh,-0.000000000000002
10479,beeni,-0.000000000000002
41182,gunbelt,-0.000000000000002
77936,remaster,-0.000000000000002
93659,themin,-0.000000000000002
10443,bedsheets,-0.000000000000002
67754,oohlala,-0.000000000000002
10439,bedroombr,-0.000000000000002
10436,bedraggle,-0.000000000000002
93685,themthat,-0.000000000000002
23638,dainty,-0.000000000000002
10406,becuase,-0.000000000000002
77896,remainbr,-0.000000000000002
93707,thenboyfriend,-0.000000000000002
32150,evolvement,-0.000000000000002
93711,thence,-0.000000000000002
10396,becomea,-0.000000000000002
10393,beckys,-0.000000000000002
93678,themselvesthere,-0.000000000000002
41151,gulp,-0.000000000000002
32194,exaggeratedbr,-0.000000000000002
93579,theatrex,-0.000000000000002
32221,examplebut,-0.000000000000002
93486,thanx,-0.000000000000002
10620,behavioural,-0.000000000000002
67730,onwardbr,-0.000000000000002
23554,dabos,-0.000000000000002
93505,thatbut,-0.000000000000002
10603,begunbr,-0.000000000000002
57293,malaysia,-0.000000000000002
23556,dacascos,-0.000000000000002
57289,malarky,-0.000000000000002
93516,thathe,-0.000000000000002
57286,malapropism,-0.000000000000002
23557,dachau,-0.000000000000002
23558,dachshund,-0.000000000000002
78012,removedbr,-0.000000000000002
41105,guiltypleasure,-0.000000000000002
93531,thatshe,-0.000000000000002
57272,maladjusted,-0.000000000000002
78001,remorseless,-0.000000000000002
67741,onyulo,-0.000000000000002
57254,maki,-0.000000000000002
32199,exaggerationbr,-0.000000000000002
10534,beforeit,-0.000000000000002
57541,manfredini,-0.000000000000002
57542,manfredinis,-0.000000000000002
23414,cutenessbr,-0.000000000000002
57546,manfully,-0.000000000000002
11294,beven,-0.000000000000002
23231,culty,-0.000000000000002
40636,greyhaired,-0.000000000000002
11276,betuel,-0.000000000000002
40646,gridiron,-0.000000000000002
92738,teamthey,-0.000000000000002
78407,resister,-0.000000000000002
11264,bettger,-0.000000000000002
92745,teapot,-0.000000000000002
57825,maraud,-0.000000000000002
92698,teabagging,-0.000000000000002
78403,resistancebr,-0.000000000000002
92775,teasingly,-0.000000000000002
92777,teatime,-0.000000000000002
32398,exdancer,-0.000000000000002
40676,grift,-0.000000000000002
92789,technerds,-0.000000000000002
57781,manwoman,-0.000000000000002
57778,manwho,-0.000000000000002
11196,bethe,-0.000000000000002
92817,technologist,-0.000000000000002
67563,onereel,-0.000000000000002
92752,tearful,-0.000000000000002
92694,td,-0.000000000000002
67518,oneis,-0.000000000000002
40612,gremlinsbr,-0.000000000000002
57990,marj,-0.000000000000002
40545,greenblatt,-0.000000000000002
23171,culpable,-0.000000000000002
92566,tastelessbr,-0.000000000000002
11392,bharatnatyam,-0.000000000000002
57966,marioncrawford,-0.000000000000002
67493,onegin,-0.000000000000002
92594,tatou,-0.000000000000002
23186,cultfollowing,-0.000000000000002
57954,marinate,-0.000000000000002
92602,tattersall,-0.000000000000002
78477,respondent,-0.000000000000002
78475,resplendent,-0.000000000000002
40579,greenscreens,-0.000000000000002
92624,tautous,-0.000000000000002
92629,taverniers,-0.000000000000002
92637,tawny,-0.000000000000002
92653,taxman,-0.000000000000002
92666,taz,-0.000000000000002
57900,margolyes,-0.000000000000002
11323,bewitchingly,-0.000000000000002
23218,cultureclash,-0.000000000000002
11317,bewilderment,-0.000000000000002
57773,manvilles,-0.000000000000002
67805,openingbr,-0.000000000000002
67565,onereelers,-0.000000000000002
57744,manthat,-0.000000000000002
57620,manikin,-0.000000000000002
11021,beringer,-0.000000000000002
57617,manifestly,-0.000000000000002
23375,cussword,-0.000000000000002
23381,custodian,-0.000000000000002
40835,grotto,-0.000000000000002
78223,repository,-0.000000000000002
57593,maniacbr,-0.000000000000002
