,sentiment,text
0,neutral,what say
1,positive,you have add commercial to the experience tacky
2,neutral,i do not today mean i need to take another
3,negative,it be really aggressive to blast obnoxious entertainment in your face they have little recourse
4,negative,and it be a really big bad thing about it
5,negative,seriously would pay 30 a flight for seat that do not have this play it be really the only bad thing about fly va
6,positive,yes nearly every time i fly vx this ear worm wont go away emoticonsmiley
7,neutral,really miss a prime opportunity for men without hat parody there
8,positive,well i do notbut now i do d
9,positive,it be amaze and arrive an hour early you be too good to me
10,neutral,do you know that suicide be the second lead cause of death among teen 1024
11,positive,i emoticonlove pretty graphic so much well than minimal iconography d
12,positive,this be such a great deal already think about my 2nd to i have not even go on my 1st yet p
13,positive,I be fly your fabulous seductive sky again u take all the stress away from travel
14,positive,thanks
15,negative,sfopdx schedule be still mia
16,positive,so excite for my first cross country flight lax to I have heard nothing but great thing about virgin america 29daystogo
17,negative,i flew from to sfo last week and could not fully sit in my seat due to two gentleman on either side of me help
18,positive,i fly
19,positive,you know what would be amazingly awesome bosfll please i want to fly with only you
20,negative,why be your first fare in may over three time more than other carrier when all seat be available to select
21,positive,i love this graphic
22,positive,i love the hipster you be a feel good brand
23,neutral,will you be make boslas non stop permanently anytime soon
24,negative,you guy mess up my seat i reserve seat with my friend and you guy give my seat away i want free
25,negative,status program i apply and it be be three week call and email with no response
26,negative,what happen 2 ur vegan food option at least say on ur site so i know i will not be able 2 eat anything for next 6 hr fail
27,neutral,do you miss me do not worry will be together very soon
28,negative,amaze to me that we cannot get any cold air from the vent vx358 noair worstflightever roast sfotobos
29,neutral,lax to ewr middle seat on a red eye such a noob maneuver sendambien andchexmix
30,negative,hi i just bked a cool birthday with you but i cannot add my elevate no cause i enter my middle name during flight book problem
31,neutral,be the hour of for the club at sfo that be post online current
32,negative,help left expensive headphone on flight 89 iad to lax today seat 2a no one answer lf number at lax
33,negative,my return phone call just would prefer to use your online selfservice option emoticonsad
34,positive,this be great news america could start flight to hawaii by end of year via
35,neutral,nice rt vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience
36,positive,moodlighting be the only way to fly best experience ever cool and calm moodlitmonday
37,positive,do and do best airline around hand down
38,neutral,when can i book my flight to hawaii
39,negative,your support be not work on your site
40,positive,view of downtown los angeles the hollywood and beyond that rain in the mountain
41,negative,first time flyer next week excite but I be have a hard time get my flight add to my elevate account help
42,neutral,plz help me win my bid upgrade for my flight 227 laxsea
43,neutral,i have an unused ticket but move to a new city where you do not fly how can i fly with you before it expires travelhelp
44,neutral,be flight leave dallas for seattle on time feb 24
45,positive,I be elevategold for a good reason you rock
46,neutral,dream
47,positive,wow this just blew my mind
48,neutral,after last night tribute soundofmusic oscars2015 i think agree
49,neutral,all be entertain
50,neutral,be flight 769 on it be way be suppose to take off 30 minute ago website still show on time not in flight thanks
51,positive,julie andrew all the way though be very impressive no to
52,neutral,wish you flew out of atlanta soon
53,neutral,julie andrew hand down
54,neutral,will flight be leave dallas for la on february 24th
55,negative,hi I be so excite about your 99 lgadal deal but I have be try 2 book since last week the page never load thx
56,positive,you know it need it on my spotify stat guiltypleasures
57,positive,I be lady gaga she be amaze
58,neutral,carrie
59,neutral,new marketing song let u know what you think
60,neutral,julie andrew first but lady gaga wowd me last night carrie meh
61,negative,i call a 34 week ago about add 3 flight from 2014 to my elevatethey still have not show uphelp
62,neutral,all be great but i have to go with carrieunderwood
63,neutral,sorry martin have it first
64,positive,love all three but you really cannot beat the classic
65,neutral,flight 0736 dal to dca 224 210pm try to check in could not status please
66,negative,heyyyy guyyyys be try to get through for an hour can someone call me please emoticonskeptical
67,negative,hi virgin I be on hold for 4050 minute be there any earlier flight from la to tonight earlier than 1150pm
68,positive,congrats on win the award for best deal from an airline u
69,negative,everything be fine until you lose my bag
70,neutral,need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online
71,neutral,i email your customer service team let me know if you need the track number
72,neutral,hi i just book a flight but need to add baggage how can i do this
73,negative,your airline be awesome but your lax loft need to step up it game 40 for dirty and floor
74,positive,not it be be a great ride in a new plane with great crew all airline should be like this
75,positive,awesome i flew yall sat morning any way we can correct my
76,neutral,or watch some of the best student film in the country at 35000 cmfat35000feet
77,neutral,first time fly you all do you have a different ratepolicy for medium bag thanks
78,negative,what be go on with customer service be there to speak to a human asap thank you
79,neutral,what happen to doom
80,negative,why cannot you supp the biz traveler like and have customer service like neverflyvirginforbusiness
81,positive,I have apply more then once to be a member of the inflight crew teamim 100 interested flightattendant dreampath g
82,negative,you be the best whenever i begrudgingly use any other airline I be delayed and late flight emoticonsad
83,negative,i have no interest fly with you after this i will cancel flight my next four flight i plannedneverflyvirginforbusiness
84,negative,it be a disappoint experience which will be share with every business traveler i neverflyvirgin
85,negative,im have trouble add this flight my wife book to my elevate account help
86,neutral,cannot bring up my reservation online use flight book problem code
87,neutral,random q what be the distribution of elevate avatar i bet that kitty have a disproportionate share
88,neutral,i emoticonlove fly va but life happens and i be try to change my jperhi can you helpva home page will not let me
89,negative,why be the site down when will it be back up
90,neutral,you down with rnp yeah you know me
91,neutral,hi i do not get point on my elevate account for my most recent flight how do i add the flight and point to my account
92,negative,i like the tv and interest video just disappointed in cancel flightled flight when other flight go out to jfk on saturday
93,negative,just land in lax an hour after i should of be here your no late flight bag check be not business travel friendly nomorevirgin
94,neutral,why be flight 345 redirect
95,negative,be it me or be your website down btw your new website be not a great user experience time for another redesign
